name,department_id
Administrative Manager,1
Administrative Assistant,1
HR Manager,1
HR Recruiter,1
HR Consultant,1
Technical Recruiter,1
Training Coordinator,1
Trainer,1
Manager,2
Controls Engineer,2
Manufacturing Engineer,2
Manufacturing Process Engineer,2
Materials Planner,2
Test Engineer,2
CNC Operator,2
Equipment Technician,2
Machine Operator,2
Operator,2
Safety Technician,2
IT Manager,3
Team Leader,3
Developer,3
Tech Support,3
Quality Assurance Engineer,4
Quality Control Analyst,4
Quality Inspector,4
Quality Engineer,4
Quality Control Manager,4
Customer Service Manager,5
Customer Support,5
Client Relations Representative,5
Client Service Specialist,5
Contact Center Help Desk,5
Customer Care Operator,5
Customer Consultant,5
Customer Service Technician,5
Accounting Manager,6
Accountant,6
Acccounting Assistant,6
Payroll Clerk,6
Sales Manager,7
Sales Representative,7
Sales Assistant,7
Sales Engineer,7
Retail Sales Executive,7
